Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
Allahabad Bank,Vedavaag Systems Limited,Bihar,Begusarai,Chhorahi,848202,M,24,1,0,0,1
Allahabad Bank,Vedavaag Systems Limited,Bihar,East Champaran,Ramgarhwa,845433,M,10,1,0,0,0
Allahabad Bank,Vedavaag Systems Limited,Bihar,Khagaria,Alauli,848203,M,46,1,0,0,1
Allahabad Bank,Vedavaag Systems Limited,Bihar,Khagaria,Chautham,851214,M,25,1,0,0,0
Allahabad Bank,Vedavaag Systems Limited,Bihar,Madhepura,Ghailarh,852124,M,4,1,0,0,1
Allahabad Bank,Vedavaag Systems Limited,Bihar,Nalanda,Asthawan,803107,M,4,1,0,0,0
Allahabad Bank,Vedavaag Systems Limited,Bihar,Nalanda,Asthawan,803107,M,5,1,0,0,1
Allahabad Bank,Vedavaag Systems Limited,Bihar,Saharsa,Nauhatta,852123,F,4,1,0,0,1
Allahabad Bank,Vedavaag Systems Limited,Bihar,Saharsa,Salkhua,852106,M,37,1,0,0,0
Allahabad Bank,Vedavaag Systems Limited,Bihar,Saharsa,Salkhua,852126,F,4,0,1,0,1
Allahabad Bank,Vedavaag Systems Limited,Bihar,Saharsa,Salkhua,852126,F,5,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Badami,587201,M,5,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Hungund,587118,M,6,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Hungund,587202,M,6,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587301,M,7,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587301,M,79,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587330,F,5,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587330,M,23,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Mudhol,587121,F,20,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Mudhol,587313,F,31,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Ballari,Hadagali,583216,M,18,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Ballari,Hagaribommanahalli,583220,M,6,0,1,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Ballari,Hospet,583201,F,2,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Ballari,Hospet,583223,M,5,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Yadgir,Yadgir,585321,F,8,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Yadgir,Yadgir,585321,F,20,0,1,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Maharashtra,Kolhapur,Karvir,416003,F,38,1,0,0,1
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Chhatarpur,Bijawar,471318,F,28,1,0,0,0
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Chhatarpur,Bijawar,471318,M,20,1,0,0,0
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Damoh,Damoh,470661,F,0,1,0,0,1
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Damoh,Damoh,470664,F,37,0,1,0,0
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Damoh,Damoh,470664,M,1,1,0,0,1
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Panna,Shahnagar,488442,M,20,1,0,0,1
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Sagar,Banda,470335,M,74,1,0,0,0
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Sagar,Bina,470113,M,5,1,0,0,1
Bank Of India,DATASOFT COMPUTER SERVICES(P),Madhya Pradesh,Sagar,Bina,470113,M,10,1,0,0,1
Bank Of India,DATASOFT COMPUTER SERVICES(P),Rajasthan,Karauli,Hindaun,322230,M,35,1,0,0,0
Bank Of India,DATASOFT COMPUTER SERVICES(P),Rajasthan,Karauli,Hindaun,322234,F,18,1,0,0,1
